Player,Batting,Bowling,Umpire
Ali Ivan,Right hand,Right arm off break,No
Ali Khan,Right hand,Right arm pace,No
Ali Masood,Right hand,Right arm pace,No
Ali Mohammadipour,Right hand,,No
Ali Naqvi,Right hand,Right arm off break,No
Ali Raza,Right hand,,No
Ali Saleem,Right hand,,No
Ali Shafiq,Right hand,Right arm pace,No
Al Islam,Right hand,Right arm off break,No
A Lister,Right hand,,No
Ali Waqar,Right hand,Right arm pace,No
Ali Yalmaz,Right hand,Right arm pace,No
Aliya Riaz,Right hand,Right arm pace,No
AL Kandappah,Right hand,,No
Alkandari Abdulrahman,Right hand,Right arm pace,No
Alkandari Mohammad,Right hand,,No
AL Kerrison,Right hand,Right arm off break,No
AL Mangue,Right hand,Right arm pace,No
AL Ndhlovu,Right hand,Right arm off break,No
Alok Kapali,Right hand,Right arm leg break,No
Alotaibi Mohammed,Right hand,,No
A Louw,Right hand,Right arm off break,No
Alqallaf Mohammad,Right hand,,No
Al Sahariar,Right hand,Right arm leg break,No
AL Stephen,Right hand,Right arm pace,No
AL Tiwari,Right hand,Right arm pace,No
Amad Butt,Right hand,Right arm pace,No
AMA Dewar,Right hand,Right arm leg break,No
A Makesh,Right hand,Right arm leg break,No
AM Ali,Right hand,Right arm off break,No
Aman Ali,Right hand,Left arm pace,No
Amandeep Singh,Right hand,Right arm off break,No
A Manepalli,Right hand,,No
A Mansale,Right hand,Right arm off break,No
A Mare,Right hand,Right arm pace,No
A Maregwede,Right hand,,No
Amar Naeem,Right hand,,No
Amar Sharma,Right hand,Right arm off break,No
A Martin,Right hand,Right arm leg break,No
A Mazvishaya,Right hand,Right arm pace,No
AM Bacher,Right hand,Right arm pace,No
A McAuley,Right hand,,No
A McGrath,Right hand,Right arm pace,No
Ameer Hamza,Right hand,,No
A Mehdi,Right hand,,No
A Mehmood,Right hand,Right arm pace,No
AM Ellis,Right hand,Right arm pace,No
A Meyenborg,Right hand,Right arm pace,No
AM Fernando,Right hand,Right arm pace,No
AM Gaging,Right hand,Right arm pace,No
A Mgijima,Right hand,Right arm off break,No
AM Guruge,Right hand,Left arm pace,No
AM Hardie,Right hand,Right arm pace,No
AM Healey,Right hand,Right arm pace,No
AM Hicks,Right hand,Right arm pace,No
Aminata Kamara,Right hand,Right arm pace,No
A Minny,Right hand,Right arm off break,No
Aminuddin Ramly,Right hand,Right arm pace,No
Aminul Islam,Right hand,Right arm off break,No
Amir Ali,Right hand,Right arm off break,No
Amir Hamza,Right hand,Left arm orthodox,No
Amir Hayat,Right hand,Right arm pace,No
Amir Mangal,Right hand,Right arm off break,No
Amir Shahzad,Right hand,,No
Amir Sharif,Right hand,Right arm pace,No
Amir Zaib,Right hand,Right arm pace,No
A Mishra,Right hand,Right arm leg break,No
A Mithun,Right hand,Right arm pace,No
Amit Sharma,Right hand,Right arm off break,No
Amjad Javed,Right hand,Right arm pace,No
Amjad Mahboob,Right hand,Right arm pace,No
Amjad Sher,Right hand,Right arm pace,No
AM Kamara,Right hand,Right arm pace,No
AM Kimote,Right hand,Right arm pace,No
AM Lilley,Right hand,Right arm off break,No
Ammad Uddin,Right hand,Right arm off break,No
Ammar Mahmood,Right hand,Right arm off break,No
Ammar Zahir,Right hand,,No
AM McCarthy,Right hand,Right arm off break,No
Amna Jamal,Right hand,Right arm off break,No
Amna Tariq,Right hand,Right arm leg break,No
AM Northcote,Right hand,Right arm off break,No
A Mnyaka,Right hand,Left arm pace,No
A Mohammed,Right hand,Right arm off break,No
A Mokgotlhe,Right hand,Right arm pace,No
Amoluk Singh,Right hand,Right arm off break,No
A Morris,Right hand,Right arm off break,No
AM Oyede,Right hand,Right arm pace,No
AM Peterson,Right hand,Right arm off break,No
AM Phangiso,Right hand,Left arm orthodox,No
AM Rahane,Right hand,Right arm pace,No
AM Rossington,Right hand,,No
AM Saheba,Right hand,,No
AM Salvi,Right hand,Right arm pace,No
AM Samad,Right hand,Right arm off break,No
AM Samaroo,Right hand,Right arm pace,No
AM Sodumo,Right hand,,No
AM Tribe,Right hand,Right arm off break,No
A Mustafa,Right hand,,No
A Mutreja,Right hand,Right arm off break,No
AM Zepeda,Right hand,Right arm pace,No
AN Ahmed,Right hand,Right arm pace,No
A Nakayama,Right hand,Right arm leg break,No
Anam Amin,Right hand,Left arm orthodox,No
Anam Mollik,Right hand,Right arm leg break,No
Anamul Haque,Right hand,,No
A Nanda,Right hand,Right arm pace,No
A Nand Kishore,Right hand,Right arm pace,No
Anand Rajan,Right hand,Right arm pace,No
A Nao,Right hand,Right arm pace,No
Anasim Khan,Right hand,Right arm pace,No
A Natubhai Ahir,Right hand,Left arm pace,No
AN Davidson-Richards,Right hand,Right arm pace,No
A Ndlovu,Right hand,Left arm orthodox,No
Andrew Roseberry,Right hand,Right arm pace,No
Andrey Lilov,Right hand,Right arm pace,No
A Nehra,Right hand,Left arm pace,No
A Neill,Right hand,Right arm pace,No
A Nel,Right hand,Right arm pace,No
AN French,Right hand,Right arm off break,No
AN Ghosh,Right hand,Right arm pace,No
AN Hyobeom,Right hand,Right arm off break,No
Aniket Parikh,Right hand,Right arm off break,No
Anique Uddin,Right hand,Right arm off break,No
Anis Siddiqi,Right hand,Right arm leg break,No
Anjali Chand,Right hand,Right arm off break,No
Anjar Tadarus,Right hand,Right arm pace,No
Anjum Awais,Right hand,,No
AN Kelly,Right hand,Right arm pace,No
AN Kervezee,Right hand,Right arm pace,No
Ankit Soni,Right hand,Right arm leg break,No
Ankur Sharma,Right hand,Right arm off break,No
AN Mayers,Right hand,Right arm pace,No
Anmolpreet Singh,Right hand,Right arm off break,No
A Nookala,Right hand,Right arm pace,No
A Nortje,Right hand,Right arm pace,No
AN Petersen,Right hand,Right arm off break,No
Ansar Iqbal,Right hand,Right arm pace,No
A Nsensha,Right hand,,No
Anser Mehmood,Right hand,Right arm off break,No
AN Toube,Right hand,,No
Anuj Dal,Right hand,Right arm pace,No
Anureet Singh,Right hand,Right arm pace,No
Anwar Ali,Right hand,Right arm pace,No
Anwar Hossain Monir,Right hand,Right arm pace,No
Anwar Rahman,Right hand,Left arm orthodox,No
A Obulor,Right hand,Right arm pace,No
AOF Le Fleming,Right hand,Right arm pace,No
AO Morgan,Right hand,Left arm orthodox,No
AO Suji,Right hand,Right arm pace,No
A Otwani,Right hand,Right arm leg break,No
AP Adegbola,Right hand,Right arm pace,No
AP Agathangelou,Right hand,Right arm leg break,No
A Paleker,Right hand,Right arm off break,No
AP Barton,Right hand,Left arm pace,No
AP Dole,Right hand,Right arm pace,No
A Perera,Right hand,Right arm pace,No
A Phillip,Right hand,Right arm pace,No
Api Leka,Right hand,,No
AP Majumdar,Right hand,Right arm leg break,No
Apon Mustafizur,Right hand,Right arm pace,No
A Poulose,Right hand,Right arm pace,No
AP Palladino,Right hand,Right arm pace,No
APR Gidman,Right hand,Right arm pace,No
A Price,Right hand,Right arm pace,No
AP Rouse,Right hand,,No
Apsari Begam,Right hand,Right arm pace,No
APS Lakshika,Right hand,Right arm off break,No
AP Tare,Right hand,,No
A Pusthay,Right hand,Right arm pace,No
AP Ward,Right hand,Right arm pace,No
A Pyecroft,Right hand,Right arm pace,No
Aqib Ilyas,Right hand,Right arm off break,No
Aqib Iqbal,Right hand,Right arm pace,No
ARA Chambers,Right hand,Right arm pace,No
AR Adams,Right hand,Right arm pace,No
A Rajp,Right hand,Right arm off break,No
A Ramesh,Right hand,Right arm off break,No
A Rangaswamy,Right hand,Left arm pace,No
A Rawat,Right hand,Right arm off break,No
A Raza,Right hand,,No
AR Balla,Right hand,Right arm pace,No
AR Bawne,Right hand,Right arm off break,No
AR Berenger,Right hand,,No
Archie Carter,Right hand,,No
AR Collins,Right hand,,No
AR Craig,Right hand,,No
AR Cusack,Right hand,Right arm pace,No
A Reddy,Right hand,Right arm pace,No
Areeb Quadir,Right hand,,No
A Rehman,Right hand,Right arm pace,No
A Reyes,Right hand,Right arm pace,No
Arfan Liaqat,Right hand,Right arm pace,No
AR Gandhi,Right hand,Right arm off break,No
AR Hamilton,Right hand,Right arm pace,No
A Richardson,Right hand,Right arm pace,No
Arif Hussain,Right hand,Right arm off break,No
Ariful Haque,Right hand,Right arm pace,No
Arish Ali,Right hand,,No
Aritra Dutta,Right hand,,No
ARI Umeed,Right hand,Right arm leg break,No
AR Keath,Right hand,Right arm pace,No
Armaan Jaffer,Right hand,Right arm off break,No
Armaan Khan,Right hand,,No
ARM Muir,Right hand,,No
AR Nedd,Right hand,Left arm orthodox,No
AR Nurse,Right hand,Right arm off break,No
AR Patwa,Right hand,Right arm off break,No
AR Reakes,Right hand,Right arm leg break,No
Arsalan Ahmed,Right hand,Right arm pace,No
Arsalan Arif,Right hand,,No
Arsalan Qadir,Right hand,Right arm pace,No
Arsal Sheikh,Right hand,Right arm off break,No
Arshad Ali,Right hand,Right arm leg break,No
Arshad Hayat,Right hand,Right arm pace,No
Arshad Iqbal,Right hand,Right arm pace,No
Arshad Khan,Right hand,Right arm off break,No
Arshad Mazarzei,Right hand,,No
AR Shetty,Right hand,Right arm pace,No
Arslan Ahmed,Right hand,,No
Arslan Naseem,Right hand,Right arm pace,No
ARS Silva,Right hand,Right arm off break,No
AR White,Right hand,Right arm off break,No
AS Abioye,Right hand,Right arm pace,No
Asad Ali,Right hand,Right arm pace,No
Asad Ali Rehemtulla,Right hand,Right arm pace,No
Asad Mahmood,Right hand,Right arm off break,No
Asad Mohammad,Right hand,Right arm pace,No
Asad Rauf,Right hand,Right arm off break,No
Asad Shafiq,Right hand,Right arm off break,No
A Sakande,Right hand,Right arm pace,No
A Sanford,Right hand,Right arm pace,No
A Sangare,Right hand,,No
Asghar Ali,Right hand,,No
Asghar Stanikzai,Right hand,Right arm pace,No
AS Gorad,Right hand,,No
A Shahzad,Right hand,Right arm pace,No
A Shamshudeen,Right hand,Right arm off break,No
AS Hansra,Right hand,Right arm pace,No
A Sharafu,Right hand,Right arm pace,No
A Sharma,Right hand,Right arm pace,No
A Sheikh,Right hand,Left arm pace,No
Ashfaq Ahmed,Right hand,Right arm off break,No
Ashiqullah Said,Right hand,Right arm pace,No
Ashish Rana,Right hand,Right arm pace,No
Ashraful Shuvo,Right hand,Left arm pace,No
A Shreshta,Right hand,,No
A Shrubsole,Right hand,Right arm pace,No
Ashtuti Kumar,Right hand,Right arm pace,No
Ashwin Vinod,Right hand,Right arm pace,No
Asif Ahmed,Right hand,Right arm off break,No
Asif Ali,Right hand,Right arm pace,No
Asif Bevinje,Right hand,Right arm pace,No
Asif Hasan,Right hand,Left arm orthodox,No
Asif Iqbal,Right hand,,No
Asim Khurshid,Right hand,Right arm pace,No
Asim Saeed,Right hand,Left arm pace,No
A Singh,Right hand,Right arm pace,No
ASJ Dewhurst,Right hand,Right arm pace,No
AS Joseph,Right hand,Right arm pace,No
Aslam Doria,Right hand,Right arm pace,No
AS Luseno,Right hand,Right arm pace,No
Asmavia Iqbal,Right hand,Right arm pace,No
AS Mehmi,Right hand,Right arm pace,No
AS Miller,Right hand,Right arm pace,No
