Player,Batting,Bowling,Umpire
OF Smith,Right hand,Right arm pace,No
O Gholami,Right hand,Left arm orthodox,No
OGL Bascome,Right hand,Right arm pace,No
OG Robinson,Right hand,,No
OH Freckingham,Right hand,Right arm pace,No
O Isesele,Right hand,Right arm leg break,No
OJ Bejide,Right hand,Right arm pace,No
OJ Carter,Right hand,,No
OJ Newby,Right hand,Right arm pace,No
OJ Pope,Right hand,,No
OJ Price,Right hand,Right arm off break,No
OJS Bartlett,Right hand,Right arm leg break,No
O Kamchomphu,Right hand,Right arm off break,No
O Keitsemang,Right hand,Right arm pace,No
O Kirsten,Right hand,Right arm pace,No
OL Pitcher,Right hand,Right arm pace,No
Omar Hayat,Right hand,Right arm off break,No
Omar Hussain,Right hand,,No
Omar Imtiaz,Right hand,Right arm pace,No
Omar Rassol,Right hand,Right arm off break,No
O Matsolo,Right hand,Right arm pace,No
OM Baker,Right hand,Right arm pace,No
ON Gain,Right hand,,No
O Nyaku,Right hand,Right arm pace,No
OO Bascome,Right hand,Right arm pace,No
O Olaleye,Right hand,Right arm off break,No
O Olatunji,Right hand,Right arm pace,No
O Omonkhobio,Right hand,Right arm pace,No
O Onwuzulike,Right hand,Right arm off break,No
O Peters,Right hand,Right arm pace,No
OP Rayner,Right hand,Right arm off break,No
O Prendergast,Right hand,Right arm pace,No
OP Stone,Right hand,Right arm pace,No
OR Lobb,Right hand,Right arm pace,No
ORT Sale,Right hand,Right arm pace,No
OR Willis,Right hand,Right arm leg break,No
OSM Rae,Right hand,Right arm pace,No
O Sow,Right hand,Right arm pace,No
OS Oyronke,Right hand,,No
O Stewart,Right hand,Right arm pace,No
O Tuyisenge,Right hand,,No
OT Wallerson,Right hand,Right arm pace,No
OV Anderson,Right hand,,No
P Abanda,Right hand,Right arm pace,No
PA Browne,Right hand,,No
PAC Cowdrill,Right hand,Right arm leg break,No
PA Chatterji,Right hand,Right arm pace,No
PA Dahiwal,Right hand,Left arm orthodox,No
PA Desai,Right hand,Left arm orthodox,No
PADLR Sandakan,Right hand,Left arm wrist spin,No
PA Franklin,Right hand,Right arm pace,No
PA Hitchcock,Right hand,Right arm pace,No
P Aho,Right hand,Right arm pace,No
Paing Danu,Right hand,Right arm pace,No
P Alako,Right hand,Right arm pace,No
P Alam,Right hand,Right arm pace,No
P Amarnath,Right hand,Right arm pace,No
P Amosa,Right hand,,No
Pankaj Singh,Right hand,Right arm pace,No
Panna Ghosh,Right hand,Right arm pace,No
PA Raikes,Right hand,,No
PA Reddy,Right hand,Right arm leg break,No
Parimal Bose,Right hand,Right arm pace,No
Park Keunyeol,Right hand,,No
PARP Perera,Right hand,Right arm off break,No
Parvez Rasool,Right hand,Right arm off break,No
PAS McSween,Right hand,Left arm pace,No
Pavandeep Singh,Right hand,Left arm orthodox,No
Pavan Kumar,Right hand,Right arm pace,No
PA van Meekeren,Right hand,Right arm pace,No
PA Wadenpohl,Right hand,Right arm pace,No
P Awana,Right hand,Right arm pace,No
Pawan Kumar,Right hand,Right arm pace,No
P Baron,Right hand,,No
P Baskota,Right hand,Right arm off break,No
P Bhart,Right hand,Right arm off break,No
PB Muchall,Right hand,Right arm pace,No
P Buccimazza,Right hand,,No
P Burger,Right hand,Right arm leg break,No
P Byron,Right hand,,No
P Campbell,Right hand,,No
PC Connell,Right hand,Right arm pace,No
PC Graham,Right hand,Right arm pace,No
P Chin,Right hand,,No
P Chopra,Right hand,Right arm leg break,No
P Cleary,Right hand,Right arm pace,No
PC McGeown,Right hand,Right arm pace,No
P Coughlin,Right hand,Right arm pace,No
P Cuinica,Right hand,Right arm pace,No
PC Valthaty,Right hand,Right arm pace,No
P Danci,Right hand,Right arm off break,No
PD Bocock,Right hand,,No
PD Collingwood,Right hand,Right arm pace,No
P Dharmani,Right hand,,No
PD Hennessy,Right hand,Right arm pace,No
P Dlamini,Right hand,,No
PD McGlashan,Right hand,,No
P Dogra,Right hand,Right arm leg break,No
PD Salt,Right hand,Right arm off break,No
PD Trego,Right hand,Right arm pace,No
P Dubey,Right hand,Right arm leg break,No
PE Kruger,Right hand,Right arm pace,No
PE Mendonca,Right hand,Left arm pace,No
P Ferguson,Right hand,Right arm off break,No
PF Gallagher,Right hand,Right arm off break,No
P Florin,Right hand,Right arm off break,No
PF Younghusband,Right hand,Right arm leg break,No
PG Fulton,Right hand,Right arm pace,No
PG Gillespie,Right hand,Right arm pace,No
PG Liyanage,Right hand,,Yes
PG Raut,Right hand,Right arm off break,No
PG Roshier,Right hand,Right arm pace,No
PG Wintz,Right hand,Right arm pace,No
P Haryanti,Right hand,Right arm pace,No
P Hatchman,Right hand,Right arm pace,No
P Hatzoglou,Right hand,Right arm leg break,No
Phil Whitticase,Right hand,,No
PHT Kaushal,Right hand,Right arm off break,No
PI Best,Right hand,,No
PI Burgoyne,Right hand,Right arm off break,No
Pieter Groenewald,Right hand,Right arm off break,Yes
P Jain,Right hand,,No
P Jayapal,Right hand,,Yes
P Jayawickrama,Right hand,Left arm orthodox,No
PJC Hoffmann,Right hand,Right arm pace,No
PJ Cummins,Right hand,Right arm pace,No
PJ Forrest,Right hand,Right arm pace,No
PJ Grieshaber,Right hand,,No
PJ Hartley,Right hand,Right arm pace,Yes
PJ Horton,Right hand,Right arm pace,No
PJ Ingram,Right hand,Right arm off break,No
PJK Mooney,Right hand,Right arm pace,No
PJ Malan,Right hand,Right arm pace,No
PJ Moor,Right hand,Right arm off break,No
PJ Ongondo,Right hand,Right arm pace,No
PJ Sangwan,Right hand,Left arm pace,No
PJ Scholfield,Right hand,Right arm pace,No
PJ te Beest,Right hand,,No
PJ van Biljon,Right hand,Right arm pace,No
PJ Wiseman,Right hand,Right arm off break,No
PKD Chase,Right hand,Right arm pace,No
PK Garg,Right hand,Right arm pace,No
P Khadka,Right hand,Right arm pace,No
PK Khakhar,Right hand,Left arm orthodox,Yes
PK Matautaava,Right hand,Right arm pace,No
P Koech,Right hand,Right arm pace,No
P Kumar,Right hand,Right arm pace,No
P Kurup,Right hand,,No
PL Bruno,Right hand,Right arm pace,No
PL Harris,Right hand,Left arm orthodox,No
PLM Jayaratne,Right hand,Right arm pace,No
PL Mommsen,Right hand,Right arm off break,No
PLS Gamage,Right hand,Right arm pace,No
P Malav,Right hand,Right arm pace,No
P Malemikia,Right hand,Right arm pace,No
P Manning,Right hand,Right arm off break,No
P Masih,Right hand,Right arm pace,No
P Maya,Right hand,Right arm pace,No
P Mazuze,Right hand,Right arm off break,No
PM Borrington,Right hand,Right arm pace,No
PM Inglis,Right hand,Right arm pace,No
P Mishra,Right hand,Right arm pace,No
PM Nevill,Right hand,,No
P Modimo,Right hand,Right arm pace,No
PM Pushpakumara,Right hand,Left arm orthodox,No
PM Ryan,Right hand,Right arm pace,No
PM Sarvesh Kumar,Right hand,Right arm pace,No
PM Seelaar,Right hand,Left arm orthodox,No
PM Siddle,Right hand,Right arm pace,No
PM Such,Right hand,Right arm off break,Yes
P Mujaji,Right hand,Right arm pace,No
P Nair,Right hand,Right arm off break,No
P Nakitende,Right hand,,No
PN Gamage,Right hand,Right arm off break,No
P Nissanka,Right hand,,No
PN Udawatta,Right hand,Right arm off break,Yes
P Ochan,Right hand,Right arm pace,No
Pooja Kumari,Right hand,Right arm off break,No
Poonam Yadav,Right hand,Right arm leg break,No
P Parameswaran,Right hand,Left arm pace,No
P Prathanmitr,Right hand,,No
P Pritchard,Right hand,,No
PP Shaw,Right hand,Right arm off break,No
PR Adams,Right hand,Left arm wrist spin,No
P Raho,Right hand,Right arm pace,No
Prakash Bhatt,Right hand,,No
Pratik Agnihotri,Right hand,,No
P Ray Barman,Right hand,Right arm leg break,No
PR Brown,Right hand,Right arm pace,No
Preeti Bose,Right hand,Right arm off break,No
Prem Tamang,Right hand,Right arm off break,No
PR George,Right hand,Right arm pace,No
Priyada Murali,Right hand,Right arm pace,No
P Rossouw,Right hand,Right arm pace,No
P Roy,Right hand,Right arm leg break,No
PRP Boissevain,Right hand,Right arm leg break,No
PRPM Guruge,Right hand,Right arm pace,No
PR Reiffel,Right hand,Right arm pace,Yes
PR Shah,Right hand,,No
PR Stirling,Right hand,Right arm off break,No
P Sabu,Right hand,Right arm off break,No
P Sahu,Right hand,Right arm leg break,No
PS Airee,Right hand,Right arm pace,No
P Sarraf,Right hand,Right arm off break,No
P Seldon,Right hand,,No
P Siaka,Right hand,Right arm pace,No
P Silas,Right hand,Right arm leg break,No
P Simran Singh,Right hand,,No
P Sisodiya,Right hand,Left arm orthodox,No
P Sizara,Right hand,Right arm pace,Yes
PS Jayaprakashdaran,Right hand,Right arm pace,No
PSP Handscomb,Right hand,,No
PS Punia,Right hand,Right arm pace,No
PSR Gurusinghe,Right hand,Right arm pace,No
P Suanchuai,Right hand,,No
P Subrayen,Right hand,Right arm off break,No
P Sungnard,Right hand,Right arm off break,No
P Suyal,Right hand,Left arm pace,No
P Taylor,Right hand,Right arm off break,No
PT Collins,Right hand,Left arm pace,No
PT Manuel,Right hand,Right arm pace,Yes
Pulina Tharanga,Right hand,Right arm leg break,No
P Uppal,Right hand,Right arm off break,No
P Utseya,Right hand,Right arm off break,No
Pu Xianliang,Right hand,Right arm pace,No
P Vastrakar,Right hand,Right arm pace,No
PVD Chameera,Right hand,Right arm pace,No
P Vekaria,Right hand,Right arm pace,No
PVSS Raja,Right hand,Right arm pace,No
PV Tambe,Right hand,Right arm leg break,No
PV Vuniwaqa,Right hand,Right arm pace,No
PWA Mulder,Right hand,Right arm pace,No
P Wangdi,Right hand,Right arm off break,No
PW Borren,Right hand,Right arm pace,No
PWH de Silva,Right hand,Right arm leg break,No
P Willey,Right hand,Right arm off break,Yes
P Wilson,Right hand,Right arm pace,Yes
PY Lavine,Right hand,Right arm pace,No
PZ Kamunya,Right hand,Right arm pace,No
Q Abel,Right hand,Right arm off break,No
Qadeer Ahmed,Right hand,Right arm pace,No
Qais Ahmad,Right hand,Right arm leg break,No
Qaiser Ali,Right hand,Right arm off break,No
Qais Farooq,Right hand,,No
Qalandar Khan,Right hand,,No
Qanita Jalil,Right hand,Right arm pace,No
Qaseem Khan,Right hand,,No
Qasim Akram,Right hand,Right arm off break,No
Qasim Anwar,Right hand,Right arm pace,No
Qasim Zubair,Right hand,Right arm pace,No
Q Joseph,Right hand,Left arm pace,No
Qudratullah Mir Afzail,Right hand,Right arm pace,No
QWM Gunning,Right hand,Right arm pace,No
RA Abolarin,Right hand,Right arm pace,No
Raag Kapur,Right hand,Right arm pace,No
RA Austin,Right hand,Right arm off break,No
Raaz Mohammad,Right hand,Right arm pace,No
R Abdulkareem,Right hand,Right arm off break,No
RA Bhatti,Right hand,Right arm off break,No
RA Broad,Right hand,Right arm pace,No
Rachel Delaney,Right hand,Right arm off break,No
RA Dunbar,Right hand,Right arm pace,Yes
Raees Ahmadzai,Right hand,Right arm off break,No
RA Fackrell,Right hand,Right arm off break,No
Rafatullah Mohmand,Right hand,Left arm orthodox,No
Rafiqul Islam,Right hand,Right arm pace,No
R Agamiire,Right hand,Right arm pace,No
Rahat Ali,Right hand,Left arm pace,No
Rahmanullah Gurbaz,Right hand,,No
Rahmat Shah,Right hand,Right arm leg break,No
Rahmatullah Mangal,Right hand,Right arm pace,No
Rahmatullah Sahaq,Right hand,,No
RAH Pitchers,Right hand,Right arm off break,No
Rahul Batham,Right hand,Right arm pace,No
Rahul Sharma,Right hand,Right arm off break,No
Raja Adeel,Right hand,Right arm pace,No
Rajin Saleh,Right hand,Right arm off break,No
RA Jones,Right hand,Right arm pace,No
RAJ Smith,Right hand,Right arm pace,No
Raju Mukherjee,Right hand,,No
RA Lewis,Right hand,Left arm orthodox,No
RA Mair,Right hand,Right arm pace,No
RA Marshall,Right hand,Right arm pace,No
Rameez Raja,Right hand,Right arm off break,No
Rameez Shahzad,Right hand,Right arm off break,No
R Amiri,Right hand,Right arm pace,No
Ramveer Rai,Right hand,Left arm orthodox,No
R Anders,Right hand,Right arm pace,No
R Andrew,Right hand,Right arm pace,No
Rangachari Vijayaraghavan,Right hand,Right arm pace,Yes
Ranjeev Sharma,Right hand,Right arm leg break,No
Raqibul Hasan,Right hand,Right arm leg break,No
RA Rolfe,Right hand,,No
RA Sealy,Right hand,Right arm leg break,No
Rasheed Bhatti,Right hand,,Yes
Rashid Khan,Right hand,,Yes
Rashid Ahad,Right hand,Right arm leg break,No
Rashid Riaz,Right hand,Right arm off break,Yes
Rashid Zia,Right hand,Right arm off break,No
R Ashwin,Right hand,Right arm off break,No
Rasikh Salam,Right hand,Right arm pace,No
RAS Lakmal,Right hand,Right arm pace,No
RA Stevenson,Right hand,Right arm pace,No
RA Tappin,Right hand,Right arm off break,No
RA Tripathi,Right hand,Right arm pace,No
R Avdylaj,Right hand,Right arm pace,No
Ravi Bishnoi,Right hand,Right arm leg break,No
Ravinderpal Singh,Right hand,Right arm off break,No
Ravinder Singh,Right hand,Right arm pace,No
RA Wiggins,Right hand,Right arm off break,No
Rayhaan Ahmed,Right hand,,No
RA Young,Right hand,,No
Raza Hasan,Right hand,Left arm orthodox,No
Raza-ur-Rehman,Right hand,Left arm pace,No
Razmal Shigiwal,Right hand,Right arm pace,No
R Baaleri,Right hand,Right arm off break,No
R Bakum,Right hand,Right arm pace,No
R Bhardwaj,Right hand,Right arm pace,No
R Bhatia,Right hand,Right arm pace,No
R Bishnoi,Right hand,Right arm pace,No
RB Javed,Right hand,Right arm pace,No
R Boyce,Right hand,,No
RB Patel,Right hand,,No
R Brar,Right hand,Right arm pace,No
RB Richardson,Right hand,Right arm pace,No
RB Tiffin,Right hand,,Yes
R Butler,Right hand,Right arm off break,No
RC Belbashi,Right hand,Right arm pace,No
RC Davies,Right hand,,No
R Chandrika,Right hand,Right arm off break,No
RC Haoda,Right hand,Right arm pace,No
R Cisse,Right hand,Right arm pace,No
R Clarke,Right hand,Right arm pace,No
RC Milburn,Right hand,,No
RC Turpin,Right hand,,No
R Cunningham,Right hand,Right arm off break,No
R Davson,Right hand,,No
RD Berrington,Right hand,Right arm pace,No
RD Bovell,Right hand,Right arm pace,No
RD Chahar,Right hand,Right arm leg break,No
RD de Sousa,Right hand,Right arm pace,No
RD Gaikwad,Right hand,Right arm off break,No
RD Gudhka,Right hand,Right arm off break,No
R Dhar,Right hand,Right arm pace,No
RD Harrison,Right hand,Right arm pace,No
R Dhawan,Right hand,Right arm pace,No
RD John,Right hand,Right arm pace,No
RD McCann,Right hand,,No
RDM Leverock,Right hand,Left arm orthodox,No
RD Pringle,Right hand,Right arm off break,No
R Dravid,Right hand,Right arm off break,No
RD Shah,Right hand,Right arm pace,No
RD Steede,Right hand,Right arm pace,No
R Ebanks,Right hand,,No
Reehana Khan,Right hand,Right arm pace,No
Rehman Abdul,Right hand,,No
R Ehsan,Right hand,Right arm pace,No
REJ Martinesz,Right hand,Right arm pace,Yes
RE Levi,Right hand,Right arm pace,No
RE McLean,Right hand,Right arm off break,No
REM Williams,Right hand,Right arm pace,No
R Endo,Right hand,Right arm pace,No
Renuka Singh,Right hand,Right arm pace,No
Reon King,Right hand,Right arm pace,No
R Escobar,Right hand,,No
RE van der Merwe,Right hand,Left arm orthodox,No
Rewina Mohammad,Right hand,Right arm pace,No
Reyhan Faiz,Right hand,Right arm off break,No
RF Higgins,Right hand,Right arm pace,No
R Flannigan,Right hand,Right arm pace,No
R Frylinck,Right hand,Right arm pace,No
RGA Amah,Right hand,Right arm pace,No
RG Aga,Right hand,Right arm pace,No
RG Archer,Right hand,Right arm pace,No
R Gaznavi,Right hand,Right arm leg break,No
RG Corns,Right hand,Left arm orthodox,No
RG Hart,Right hand,,No
R Gibson,Right hand,Right arm pace,No
RGL Carters,Right hand,,No
RG More,Right hand,Right arm pace,No
RG Mukasa,Right hand,Right arm off break,No
RG Nijman,Right hand,Right arm pace,No
RG Okia,Right hand,Right arm pace,No
R Goodwin,Right hand,,No
R Gowthaman,Right hand,Right arm off break,No
RG Sharma,Right hand,Right arm off break,No
RG Somashekhar,Right hand,Right arm pace,No
RG White,Right hand,Right arm pace,No
RH Candy,Right hand,Right arm pace,No
R Hekure,Right hand,Right arm pace,No
R Heyns,Right hand,Right arm pace,No
RH Joseph,Right hand,Right arm pace,No
RH McNeill,Right hand,Right arm pace,No
RHM Hopkins,Right hand,Right arm pace,No
RH Patel,Right hand,Left arm orthodox,No
RH Priest,Right hand,,No
RI Ahmed,Right hand,,No
Riaz Afridi,Right hand,Right arm pace,No
Riazat Ali Shah,Right hand,Right arm pace,No
Riazuddin,Right hand,Right arm off break,Yes
Richard Kenward,Right hand,,No
Rida Zainab,Right hand,,No
Ridha Aulia,Right hand,Right arm pace,No
RI Keogh,Right hand,Right arm off break,No
RI Newton,Right hand,Right arm leg break,No
Rishad Hossain,Right hand,Right arm leg break,No
Ritu Moni,Right hand,Right arm pace,No
RI Walker,Right hand,Right arm pace,No
Riyas Bazirhak,Right hand,Right arm pace,No
Rizpha Bano,Right hand,Right arm pace,No
Rizwan Ahmed,Right hand,Right arm leg break,No
Rizwan Akram,Right hand,Right arm pace,Yes
Rizwan Cheema,Right hand,Right arm pace,No
Rizwan Latif,Right hand,Left arm orthodox,No
Rizwan Mahmood,Right hand,,No
Rizwan Mangera,Right hand,,No
RJA Murphy,Right hand,Right arm off break,No
RJ Bailey,Right hand,Right arm off break,Yes
RJ Campbell,Right hand,Right arm off break,No
RJ Das,Right hand,,No
RJ Evans,Right hand,Right arm pace,Yes
RJ Gibson,Right hand,Right arm pace,No
RJ Gleeson,Right hand,Right arm pace,No
RJG Lockyear,Right hand,Right arm pace,No
RJG Palmer,Right hand,Right arm off break,No
RJ Hamilton-Brown,Right hand,Right arm off break,No
RJ Harris,Right hand,Right arm pace,No
RJ Hatchman,Right hand,Right arm pace,No
RJ Kirtley,Right hand,Right arm pace,No
RJ Montgomery,Right hand,Right arm pace,No
RJ Nicol,Right hand,Right arm pace,No
R Johnston,Right hand,Right arm off break,No
RJ Ratnayake,Right hand,Right arm pace,No
RJ Robinson,Right hand,Right arm pace,No
RJ Rolls,Right hand,,No
RJ Sayer,Right hand,Right arm off break,No
RJ Trott,Right hand,Right arm off break,No
RJ Veillard,Right hand,,Yes
RJ Warren,Right hand,Right arm off break,Yes
RJ Watson,Right hand,Right arm pace,No
RJW Topley,Right hand,Left arm pace,No
R Kaia,Right hand,Right arm off break,No
R Kanai,Right hand,Right arm pace,No
R Kano,Right hand,Right arm pace,No
R Kanoh,Right hand,Right arm off break,No
R Kassim,Right hand,Right arm pace,No
RK Bhui,Right hand,Right arm leg break,No
RK Illingworth,Right hand,Left arm orthodox,Yes
RK Kanoujiya,Right hand,Right arm off break,No
RK Kiseto,Right hand,Right arm off break,No
RK Kleinveldt,Right hand,Right arm pace,No
RK O'Donnell,Right hand,Right arm pace,No
RK Parwin,Right hand,Right arm off break,No
RK Patel,Right hand,Right arm leg break,No
RK Paudel,Right hand,Right arm pace,No
RK Pradhan,Right hand,Right arm leg break,No
RK Weerasundara,Right hand,Right arm off break,No
RK Whelan,Right hand,Right arm pace,No
RK Willis,Right hand,Right arm pace,No
RL Bhudia,Right hand,Right arm pace,No
RL Chase,Right hand,Right arm off break,No
RL Powell,Right hand,Right arm off break,No
R Mahajan,Right hand,Right arm leg break,No
R Malhotra,Right hand,Right arm leg break,No
RMAM Avery,Right hand,Right arm pace,No
R Matsumura,Right hand,Right arm pace,No
R Mazumder,Right hand,Right arm off break,No
RM Burns,Right hand,Right arm off break,No
R McBey,Right hand,Right arm pace,No
R McKenna,Right hand,Right arm pace,No
RM Dorji,Right hand,Right arm off break,No
RM D'Souza,Right hand,,No
RM Farrell,Right hand,Right arm pace,No
RM Ghosh,Right hand,Right arm pace,No
RM Johnson,Right hand,,No
RM Koda,Right hand,Right arm pace,No
RMNL Bandara,Right hand,Right arm pace,No
R Moonsamy,Right hand,Right arm off break,No
R Mosweu,Right hand,,No
RM Patidar,Right hand,Right arm off break,No
RMPJ Rambukwella,Right hand,,Yes
RM Pyrah,Right hand,Right arm pace,No
RMR Brathwaite,Right hand,Right arm pace,No
RMS Eranga,Right hand,Right arm pace,No
RM Siri,Right hand,,No
RM ter Braak,Right hand,Left arm pace,No
R Muriyalo,Right hand,Right arm pace,No
R Murray,Right hand,Right arm off break,No
R Musamali,Right hand,Right arm pace,No
R Mutumbami,Right hand,Right arm off break,No
R Narasimhan,Right hand,,No
R Nehonde,Right hand,Right arm off break,No
R Nil,Right hand,Right arm pace,No
R Ninan,Right hand,Right arm off break,No
RN Lewis,Right hand,Right arm leg break,No
RN Roach,Right hand,Right arm off break,No
RN Sidebottom,Right hand,Right arm pace,No
RN ten Doeschate,Right hand,Right arm pace,No
R Ntono,Right hand,,No
R Ntozakhe,Right hand,Right arm off break,No
R Oa,Right hand,Right arm pace,No
Robert Crosse,Right hand,,No
Robiul Haque,Right hand,Right arm pace,No
Robiul Islam,Right hand,Right arm pace,No
Robiul Islam Robi,Right hand,Right arm off break,No
Rob White,Right hand,Right arm leg break,Yes
RO Cato,Right hand,Right arm pace,No
RO Gordon,Right hand,Right arm pace,No
Rohail Nazir,Right hand,,No
RO Hurley,Right hand,Right arm off break,No
R Olipa,Right hand,Right arm pace,No
RO Magarira,Right hand,Left arm wrist spin,No
Roma Thapa,Right hand,,No
Ronald Ebanks,Right hand,Right arm pace,No
Rony Talukdar,Right hand,,No
ROO Jordan,Right hand,Right arm pace,No
R Otim,Right hand,Right arm leg break,No
R Padunglerd,Right hand,Right arm pace,No
R Panchal,Right hand,Right arm pace,No
R Parag,Right hand,Right arm leg break,No
R Pathan,Right hand,Right arm pace,No
R Pavadaikannan,Right hand,,No
RP Hemmings,Right hand,Right arm pace,No
R Pillai,Right hand,Right arm pace,No
RP Jones,Right hand,Right arm leg break,No
RP Magar,Right hand,Right arm leg break,No
RP Mepani,Right hand,Right arm pace,No
RP Meredith,Right hand,Right arm pace,No
RP Mitchell,Right hand,Right arm pace,No
R Powell,Right hand,Right arm pace,No
RP Singh,Right hand,Left arm pace,No
RP Varsani,Right hand,Right arm off break,No
RP Yadav,Right hand,Left arm orthodox,No
R Ravindran,Right hand,Right arm pace,No
R Rawal,Right hand,Left arm pace,No
RR Ayre,Right hand,Left arm orthodox,No
RR Beaton,Right hand,Right arm pace,No
RR Bhatkal,Right hand,Right arm pace,No
RR Bose,Right hand,Right arm pace,No
RR David,Right hand,Right arm off break,No
RR Emrit,Right hand,Right arm pace,No
RR Goyal,Right hand,Right arm off break,No
RR Hendricks,Right hand,Right arm off break,No
R Rijal,Right hand,,No
R Rijke,Right hand,Right arm pace,No
RR Jadeja,Right hand,Right arm pace,No
RR O'Donnell,Right hand,,No
R Rohan,Right hand,Right arm off break,No
RR Patel,Right hand,Right arm off break,No
RR Powar,Right hand,Right arm off break,No
RR Raina,Right hand,Right arm off break,No
RR Raje,Right hand,Right arm pace,No
RR Ramdass,Right hand,Right arm off break,No
RR Sarwan,Right hand,Right arm leg break,No
RRS Cornwall,Right hand,Right arm off break,No
RR Seth,Right hand,Right arm pace,No
RR Timbawala,Right hand,Right arm pace,No
RR Watson,Right hand,Right arm pace,No
RR Wimalasiri,Right hand,Right arm leg break,Yes
R Samson,Right hand,Right arm pace,No
R Sandaruwan,Right hand,Right arm off break,No
R Sangsoma,Right hand,Right arm off break,No
RSA Palliyaguruge,Right hand,Right arm pace,Yes
R Satheesan,Right hand,Right arm off break,No
R Sathish,Right hand,Right arm pace,No
RS Bopara,Right hand,Right arm pace,No
RS Buckley,Right hand,Right arm off break,No
R Schachat,Right hand,Right arm pace,No
R Searle,Right hand,Right arm pace,No
RS Fernando,Right hand,Right arm off break,No
RS Gayakwad,Right hand,Left arm orthodox,No
RS Glen,Right hand,Right arm off break,No
R Shah,Right hand,Right arm pace,No
R Sharma,Right hand,,No
R Shepherd,Right hand,Right arm pace,No
RS Higgins,Right hand,Right arm leg break,No
R Shukla,Right hand,Right arm pace,No
RS Kaluwitharana,Right hand,,No
R Slater,Right hand,Right arm pace,No
RS Madugalle,Right hand,Right arm off break,No
RS Mahanama,Right hand,,No
RSM Lili'i,Right hand,Right arm pace,No
RS Morton,Right hand,Right arm pace,No
R Southby,Right hand,,No
RS Primus,Right hand,Right arm pace,No
RS Quyn,Right hand,Right arm pace,No
RS Second,Right hand,Right arm off break,No
RS Sodhi,Right hand,Right arm pace,No
R Stokell,Right hand,Right arm pace,No
R Sundar,Right hand,Right arm off break,Yes
RS Vandort,Right hand,,No
RS Williams,Right hand,,No
R Talkar,Right hand,Right arm pace,No
R Tanweer,Right hand,Right arm pace,No
R Tari,Right hand,Right arm pace,No
RT Crandon,Right hand,Right arm off break,No
R Telemachus,Right hand,Right arm pace,No
R Thakur,Right hand,Right arm pace,No
RTM Mendis,Right hand,Right arm off break,No
RT Mohamed,Right hand,Right arm off break,No
R Tommy,Right hand,Right arm pace,No
RT Ponting,Right hand,Right arm pace,No
R Trenaman,Right hand,Right arm leg break,No
RT Robinson,Right hand,Right arm pace,Yes
RT Rubbi,Right hand,,No
R Trumpelmann,Right hand,Left arm pace,No
R Tsutsui,Right hand,Right arm pace,No
Rubel Hossain,Right hand,Right arm pace,No
Rubel Mia,Right hand,Right arm pace,No
Ruchitha Venkatesh,Right hand,Right arm off break,No
Rumana Ahmed,Right hand,Right arm leg break,No
Rumman Raees,Right hand,Left arm pace,No
R van Schoor,Right hand,Right arm pace,No
RV Gomez,Right hand,Right arm pace,No
R Vinay Kumar,Right hand,Right arm pace,No
R Vishwanath,Right hand,Right arm pace,No
RV Kalpana,Right hand,Right arm off break,No
RV Patel,Right hand,Right arm pace,No
RV Scholes,Right hand,Right arm pace,No
RV Uthappa,Right hand,Right arm pace,No
RW Chakabva,Right hand,Right arm off break,No
R Withey,Right hand,Right arm pace,No
RW Price,Right hand,Left arm orthodox,No
RW Staple,Right hand,Right arm off break,No
RWT Key,Right hand,Right arm off break,No
SA Abbott,Right hand,Right arm pace,No
Saad Janjua,Right hand,Right arm pace,No
Saad Khalid,Right hand,Right arm pace,No
Saad Nasim,Right hand,Right arm leg break,No
SA Asnodkar,Right hand,Right arm off break,No
Sabahat Rasheed,Right hand,Right arm pace,No
Sabah Nawab,Right hand,Right arm pace,No
Sabbir Rahman,Right hand,Right arm leg break,No
Saber Zakhil,Right hand,Right arm pace,No
Sabir Zahoor,Right hand,Right arm pace,No
Sabnam Rai,Right hand,Right arm off break,No
SA Campbelle,Right hand,Right arm pace,No
Sadia Yousuf,Right hand,Left arm orthodox,No
SA Edwards,Right hand,,No
Saeed Ajmal,Right hand,Right arm off break,No
Saeed Sarkar,Right hand,Right arm off break,No
SA Engelbrecht,Right hand,Right arm off break,No
Safdar Niazi,Right hand,Right arm off break,No
Safir Hayat,Right hand,Right arm pace,No
SA Fritz,Right hand,Right arm pace,No
Sagar Pun,Right hand,Right arm off break,No
S Agazuma,Right hand,,No
Saghir Hossain,Right hand,,No
Sahel Zadran,Right hand,Right arm pace,No
Sahibzada Farhan,Right hand,,No
Sahir Naqash,Right hand,Right arm pace,No
Saif Ali,Right hand,,No
Saif Badar,Right hand,Right arm leg break,No
Saif Hassan,Right hand,Right arm off break,No
Saifullah Bangash,Right hand,,No
Sajaa Fathimath,Right hand,Right arm off break,No
SA Jacobs,Right hand,Right arm off break,No
Sajid Cheema,Right hand,,No
Sajid Khan,Right hand,Right arm off break,No
Sajid Liaqat,Right hand,Right arm pace,No
Sajjida Shah,Right hand,Right arm off break,No
Salahuddin Ahmed,Right hand,Right arm off break,Yes
Saleem Badar,Right hand,Right arm pace,Yes
Saleem Elahi,Right hand,Right arm off break,No
Saleh Ahmed Shawon,Right hand,Left arm orthodox,No
Salma Khatun,Right hand,Right arm off break,No
Salman Farooq,Right hand,Right arm off break,No
Salman Irshad,Right hand,Right arm pace,No
